entry_time,exit_time,direction,entry,exit,pnl,equity,exit_reason,year
2014-11-20,2014-12-16,short,357.8399963378906,335.7814357609811,49.05666360729139,10049.05666360729,TP,2014
2015-01-28,2015-02-01,short,233.9149932861328,212.01651331529231,49.631378930532044,10098.688042537822,TP,2015
2015-11-26,2015-11-29,long,352.6839904785156,371.2293150818604,49.31083896967098,10147.998881507494,TP,2015
2017-03-09,2017-03-10,long,1188.489990234375,1189.3599853515625,-0.6901384906354457,10147.308743016858,SL/TR,2017
2017-03-11,2017-03-13,long,1175.8299560546875,1229.4741051817732,49.37158425571934,10196.680327272577,TP,2017
2017-09-05,2017-09-07,long,4376.52978515625,4648.358153683052,49.96779133269371,10246.648118605272,TP,2017
2017-11-13,2017-11-15,long,6559.490234375,7062.605869114767,50.400941917896844,10297.049060523168,TP,2017
2017-11-15,2017-11-16,long,7315.5400390625,7819.996137523543,50.55839740221529,10347.607457925384,TP,2017
2018-01-02,2018-01-05,long,14982.099609375,16728.400068683783,51.174340817097026,10398.78179874248,TP,2018
2018-12-25,2019-01-13,short,3815.49072265625,3570.98847938119,51.05145892306175,10449.833257665543,TP,2018
2020-02-18,2020-02-25,long,10141.99609375,9495.616997611372,-106.40318794969443,10343.430069715849,SL/TR,2020
2021-08-06,2021-08-08,long,42816.5,45103.175197759134,50.524076212316245,10393.954145928165,TP,2021
2021-10-28,2021-11-02,long,60622.13671875,63562.92437228743,50.653007349221134,10444.607153277386,TP,2021
2021-11-02,2021-11-08,long,63226.40234375,66054.55285186005,50.79069814622156,10495.397851423608,TP,2021
2021-12-28,2022-01-05,short,47588.85546875,45899.359375,36.31753335353502,10531.715384777142,SL/TR,2021
2022-06-01,2022-06-11,short,29799.080078125,28238.508589907116,51.483554753959076,10583.198939531101,TP,2022
2022-07-10,2022-07-12,short,20860.44921875,19728.81266192714,51.77720796254514,10634.976147493646,TP,2022
2023-02-15,2023-02-16,long,24307.841796875,25009.876229300044,50.93356864236738,10685.909716136013,TP,2023
2023-08-31,2023-09-11,short,25931.47265625,25175.09069382672,51.26349961735753,10737.173215753372,TP,2023
2023-11-22,2023-12-01,long,37432.33984375,38697.51876236134,51.74759600474012,10788.920811758111,TP,2023
2023-12-13,2023-12-22,long,42890.7421875,44338.70928799254,51.994742813803676,10840.915554571915,TP,2023
2024-03-20,2024-04-08,long,67913.671875,71893.50779502522,53.06209009810429,10893.97764467002,TP,2024
2024-12-06,2024-12-15,long,99920.7109375,104020.24146230149,52.84404729144205,10946.821691961462,TP,2024
2025-11-12,2025-11-14,short,101663.1875,97771.64816337613,53.05108994477418,10999.872781906237,TP,2025
2025-12-12,2025-12-15,short,90270.4140625,86631.39263622767,53.39517107252829,11053.267952978766,TP,2025
2026-01-20,2026-01-29,short,88310.90625,89169.8515625,-22.15333056444758,11031.114622414318,SL/TR,2026
