risk_pct,sl_mult,tp_mult,trail_act,trail_dist,trades,wr,pf,net_pct,max_dd,calmar
3.0,2.0,7.0,3.5,0.1,13,61.5,2.013,17.41,6.53,2.666
3.0,2.0,8.0,3.5,0.1,13,61.5,2.013,17.41,6.53,2.666
3.0,2.0,6.0,3.5,0.1,13,61.5,2.008,17.33,6.53,2.653
3.0,2.0,7.0,3.5,0.2,13,61.5,1.97,16.58,6.53,2.538
3.0,2.0,8.0,3.5,0.2,13,61.5,1.97,16.58,6.53,2.538
2.5,2.0,8.0,3.5,0.1,13,61.5,2.073,16.57,5.85,2.832
2.5,2.0,7.0,3.5,0.1,13,61.5,2.073,16.57,5.85,2.832
3.0,2.0,6.0,3.5,0.2,13,61.5,1.969,16.56,6.53,2.535
3.0,4.0,8.0,3.5,0.1,13,69.2,2.139,16.51,6.49,2.546
2.5,2.0,6.0,3.5,0.1,13,61.5,2.067,16.49,5.85,2.818
2.0,2.0,7.0,3.5,0.1,13,61.5,2.222,16.07,4.74,3.392
2.0,2.0,8.0,3.5,0.1,13,61.5,2.222,16.07,4.74,3.392
2.0,2.0,6.0,3.5,0.1,13,61.5,2.216,15.99,4.74,3.375
3.0,4.0,7.0,3.5,0.1,13,69.2,2.092,15.8,6.49,2.436
3.0,2.0,6.0,3.5,0.3,13,61.5,1.929,15.8,6.53,2.419
2.5,2.0,7.0,3.5,0.2,13,61.5,2.027,15.8,5.85,2.7
2.5,2.0,8.0,3.5,0.2,13,61.5,2.027,15.8,5.85,2.7
3.0,4.0,8.0,3.5,0.2,13,69.2,2.094,15.8,6.49,2.436
2.5,2.0,6.0,3.5,0.2,13,61.5,2.026,15.78,5.85,2.697
3.0,2.0,7.0,3.5,0.3,13,61.5,1.926,15.75,6.53,2.411
3.0,2.0,8.0,3.5,0.3,13,61.5,1.926,15.75,6.53,2.411
3.0,2.0,5.0,3.5,0.1,13,61.5,1.908,15.44,6.53,2.364
2.0,2.0,7.0,3.5,0.2,13,61.5,2.173,15.35,4.74,3.241
2.0,2.0,8.0,3.5,0.2,13,61.5,2.173,15.35,4.74,3.241
2.0,2.0,6.0,3.5,0.2,13,61.5,2.172,15.34,4.74,3.238
3.0,2.0,6.0,3.5,0.4,13,61.5,1.9,15.25,6.53,2.335
3.0,4.0,7.0,3.5,0.2,13,69.2,2.052,15.18,6.49,2.34
3.0,2.0,8.0,3.5,0.4,13,61.5,1.893,15.14,6.53,2.317
3.0,2.0,7.0,3.5,0.4,13,61.5,1.893,15.14,6.53,2.317
3.0,2.0,5.0,3.5,0.2,13,61.5,1.892,15.13,6.53,2.317
3.0,4.0,8.0,3.5,0.3,13,69.2,2.049,15.09,6.49,2.326
2.5,2.0,6.0,3.5,0.3,13,61.5,1.985,15.07,5.85,2.576
2.5,2.0,8.0,3.5,0.3,13,61.5,1.982,15.02,5.85,2.568
2.5,2.0,7.0,3.5,0.3,13,61.5,1.982,15.02,5.85,2.568
3.0,4.0,6.0,3.5,0.1,13,69.2,2.031,14.89,6.49,2.296
1.5,2.0,8.0,3.5,0.1,13,61.5,2.457,14.88,3.56,4.175
1.5,2.0,7.0,3.5,0.1,13,61.5,2.457,14.88,3.56,4.175
3.0,2.0,5.0,3.5,0.3,13,61.5,1.876,14.83,6.53,2.27
1.5,2.0,6.0,3.5,0.1,13,61.5,2.449,14.79,3.56,4.152
3.0,2.0,5.0,3.5,0.4,13,61.5,1.87,14.73,6.53,2.256
2.0,2.0,6.0,3.5,0.3,13,61.5,2.127,14.69,4.74,3.101
2.5,2.0,5.0,3.5,0.1,13,61.5,1.959,14.67,5.85,2.507
2.0,2.0,8.0,3.5,0.3,13,61.5,2.124,14.64,4.74,3.091
2.0,2.0,7.0,3.5,0.3,13,61.5,2.124,14.64,4.74,3.091
3.0,4.0,7.0,3.5,0.3,13,69.2,2.013,14.55,6.49,2.243
2.5,2.0,6.0,3.5,0.4,13,61.5,1.954,14.55,5.85,2.486
3.0,4.0,8.0,3.5,0.4,13,69.2,2.01,14.49,6.49,2.234
2.5,2.0,7.0,3.5,0.4,13,61.5,1.947,14.43,5.85,2.467
2.5,2.0,8.0,3.5,0.4,13,61.5,1.947,14.43,5.85,2.467
2.5,2.0,5.0,3.5,0.2,13,61.5,1.943,14.39,5.85,2.46
3.0,4.0,6.0,3.5,0.2,13,69.2,1.996,14.34,6.49,2.21
1.5,2.0,8.0,3.5,0.2,13,61.5,2.402,14.25,3.56,4.0
1.5,2.0,7.0,3.5,0.2,13,61.5,2.402,14.25,3.56,4.0
2.0,2.0,5.0,3.5,0.1,13,61.5,2.093,14.24,4.74,3.006
1.5,2.0,6.0,3.5,0.2,13,61.5,2.4,14.24,3.56,3.996
2.0,2.0,6.0,3.5,0.4,13,61.5,2.092,14.19,4.74,2.995
2.5,4.0,8.0,3.5,0.1,13,69.2,2.137,14.15,5.42,2.609
2.5,2.0,5.0,3.5,0.3,13,61.5,1.926,14.11,5.85,2.412
2.0,2.0,8.0,3.5,0.4,13,61.5,2.084,14.08,4.74,2.972
2.0,2.0,7.0,3.5,0.4,13,61.5,2.084,14.08,4.74,2.972
3.0,4.0,7.0,3.5,0.4,13,69.2,1.979,14.04,6.49,2.164
2.5,2.0,5.0,3.5,0.4,13,61.5,1.92,14.01,5.85,2.395
2.0,2.0,5.0,3.5,0.2,13,61.5,2.076,13.99,4.74,2.953
3.0,4.0,6.0,3.5,0.3,13,69.2,1.961,13.78,6.49,2.125
2.0,2.0,5.0,3.5,0.3,13,61.5,2.059,13.74,4.74,2.9
1.5,2.0,6.0,3.5,0.3,13,61.5,2.35,13.68,3.56,3.84
1.5,2.0,7.0,3.5,0.3,13,61.5,2.346,13.64,3.56,3.827
1.5,2.0,8.0,3.5,0.3,13,61.5,2.346,13.64,3.56,3.827
2.0,2.0,5.0,3.5,0.4,13,61.5,2.051,13.63,4.74,2.877
2.5,4.0,7.0,3.5,0.1,13,69.2,2.091,13.56,5.42,2.502
2.5,4.0,8.0,3.5,0.2,13,69.2,2.091,13.53,5.42,2.497
3.0,4.0,6.0,3.5,0.4,13,69.2,1.932,13.34,6.49,2.056
1.5,2.0,6.0,3.5,0.4,13,61.5,2.31,13.24,3.56,3.715
1.5,2.0,5.0,3.5,0.1,13,61.5,2.305,13.21,3.56,3.707
1.5,2.0,8.0,3.5,0.4,13,61.5,2.3,13.13,3.56,3.684
1.5,2.0,7.0,3.5,0.4,13,61.5,2.3,13.13,3.56,3.684
2.5,4.0,7.0,3.5,0.2,13,69.2,2.051,13.02,5.42,2.402
1.5,2.0,5.0,3.5,0.2,13,61.5,2.285,12.99,3.56,3.644
2.5,4.0,8.0,3.5,0.3,13,69.2,2.045,12.92,5.42,2.384
2.5,4.0,6.0,3.5,0.1,13,69.2,2.032,12.8,5.42,2.361
1.5,2.0,5.0,3.5,0.3,13,61.5,2.265,12.76,3.56,3.582
1.5,2.0,5.0,3.5,0.4,13,61.5,2.254,12.65,3.56,3.55
3.0,4.0,5.0,3.5,0.1,13,69.2,1.872,12.49,6.49,1.926
2.5,4.0,7.0,3.5,0.3,13,69.2,2.01,12.48,5.42,2.302
2.5,4.0,8.0,3.5,0.4,13,69.2,2.006,12.41,5.42,2.289
2.5,4.0,6.0,3.5,0.2,13,69.2,1.996,12.32,5.42,2.274
3.0,4.0,5.0,3.5,0.2,13,69.2,1.858,12.27,6.49,1.892
3.0,5.0,8.0,2.5,0.1,16,81.2,2.139,12.12,6.37,1.901
3.0,4.0,5.0,3.5,0.3,13,69.2,1.844,12.05,6.49,1.858
2.5,4.0,7.0,3.5,0.4,13,69.2,1.976,12.03,5.42,2.219
3.0,4.0,5.0,3.5,0.4,13,69.2,1.836,11.94,6.49,1.84
2.5,4.0,6.0,3.5,0.3,13,69.2,1.961,11.85,5.42,2.186
2.0,4.0,8.0,3.5,0.1,13,69.2,2.177,11.56,4.35,2.658
3.0,5.0,7.0,2.5,0.1,16,81.2,2.087,11.56,6.37,1.815
2.5,4.0,6.0,3.5,0.4,13,69.2,1.932,11.47,5.42,2.116
3.0,5.0,8.0,2.5,0.2,16,81.2,2.064,11.27,6.37,1.769
2.0,4.0,7.0,3.5,0.1,13,69.2,2.131,11.1,4.35,2.552
2.0,4.0,8.0,3.5,0.2,13,69.2,2.13,11.07,4.35,2.546
3.0,5.0,8.0,3.5,0.1,13,69.2,1.758,10.95,6.37,1.718
2.5,3.0,7.0,3.5,0.1,13,61.5,1.708,10.94,5.58,1.959
