trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,macro_ema
81,76.5,1.498,11.62,-2.32,5.005,3,78,0,400
83,75.9,1.446,11.02,-3.12,3.527,3,80,0,0
83,75.9,1.446,11.02,-3.12,3.527,3,80,0,150
83,75.9,1.446,11.02,-3.12,3.527,3,80,0,100
83,75.9,1.446,11.02,-3.12,3.527,3,80,0,200
83,75.9,1.446,11.02,-3.12,3.527,3,80,0,300
78,74.4,1.314,7.56,-2.87,2.632,3,75,0,500
70,77.1,1.543,10.58,-4.11,2.574,2,68,0,2000
76,75.0,1.362,8.37,-3.46,2.419,3,73,0,800
74,75.7,1.4,8.67,-4.11,2.108,2,72,0,1500
77,74.0,1.295,7.12,-3.46,2.056,3,74,0,600
74,74.3,1.266,6.08,-4.72,1.286,2,72,0,1000
