trades,wr,pf,net_pct,max_dd,calmar,tp,sl,mb,trail_act,trail_dist
28,67.9,1.618,6.92,-5.62,1.23,9,19,0,3.5,0.2
28,67.9,1.594,6.63,-5.62,1.179,9,19,0,3.5,0.3
28,67.9,1.569,6.35,-5.62,1.128,9,19,0,3.5,0.4
28,67.9,1.544,6.06,-5.62,1.078,9,19,0,3.5,0.5
28,67.9,1.52,5.78,-5.62,1.027,9,19,0,3.5,0.6
28,67.9,1.506,5.63,-5.62,1.001,10,18,0,3.5,0.8
28,67.9,1.462,5.13,-5.62,0.911,10,18,0,3.5,1.0
29,69.0,1.427,4.69,-5.62,0.835,5,24,0,3.0,0.2
29,69.0,1.387,4.25,-5.62,0.755,5,24,0,3.0,0.3
29,69.0,1.359,3.93,-5.62,0.699,5,24,0,3.0,0.4
29,69.0,1.319,3.49,-5.62,0.62,5,24,0,3.0,0.5
27,59.3,1.235,3.18,-5.95,0.535,12,15,0,4.0,0.2
27,59.3,1.229,3.09,-5.95,0.519,12,15,0,4.0,0.3
31,71.0,1.282,3.07,-4.44,0.692,3,28,0,2.5,0.2
29,69.0,1.28,3.05,-5.62,0.542,5,24,0,3.0,0.6
27,59.3,1.222,3.0,-5.95,0.504,12,15,0,4.0,0.4
27,59.3,1.215,2.91,-5.95,0.488,12,15,0,4.0,0.5
27,59.3,1.208,2.81,-5.95,0.473,12,15,0,4.0,0.6
29,69.0,1.253,2.75,-5.62,0.489,6,23,0,3.0,0.8
27,59.3,1.195,2.63,-5.95,0.442,12,15,0,4.0,0.8
31,71.0,1.23,2.5,-4.44,0.563,3,28,0,2.5,0.3
27,59.3,1.182,2.45,-5.95,0.411,12,15,0,4.0,1.0
29,69.0,1.18,1.95,-5.62,0.346,6,23,0,3.0,1.0
31,71.0,1.178,1.93,-4.44,0.434,3,28,0,2.5,0.4
31,71.0,1.126,1.36,-4.44,0.306,3,28,0,2.5,0.5
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,0.6
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,0.8
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,0.4
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,0.3
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,0.2
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,0.5
24,54.2,1.096,1.28,-5.95,0.215,13,11,0,99.0,1.0
31,71.0,1.074,0.79,-4.51,0.176,3,28,0,2.5,0.6
31,71.0,0.969,-0.33,-4.67,-0.071,3,28,0,2.5,0.8
31,71.0,0.867,-1.41,-5.02,-0.281,3,28,0,2.5,1.0
37,64.9,0.833,-2.59,-4.88,-0.531,3,34,0,2.0,0.2
46,67.4,0.743,-3.12,-5.49,-0.569,2,44,0,1.0,0.2
37,64.9,0.791,-3.22,-5.1,-0.632,3,34,0,2.0,0.3
37,64.9,0.75,-3.85,-5.31,-0.725,3,34,0,2.0,0.4
46,65.2,0.659,-4.17,-5.88,-0.709,2,44,0,1.0,0.3
37,64.9,0.708,-4.47,-5.53,-0.809,3,34,0,2.0,0.5
40,67.5,0.687,-4.81,-6.15,-0.781,2,38,0,1.5,0.2
37,64.9,0.666,-5.09,-5.78,-0.881,3,34,0,2.0,0.6
45,57.8,0.583,-5.12,-6.28,-0.815,2,43,0,1.0,0.4
40,67.5,0.636,-5.57,-6.44,-0.864,2,38,0,1.5,0.3
43,44.2,0.511,-6.1,-6.66,-0.916,2,41,0,1.0,0.5
37,64.9,0.583,-6.32,-6.83,-0.926,3,34,0,2.0,0.8
36,66.7,0.546,-6.32,-6.68,-0.946,3,33,0,2.0,1.0
40,67.5,0.585,-6.32,-6.73,-0.939,2,38,0,1.5,0.4
43,44.2,0.451,-7.03,-7.09,-0.991,2,41,0,1.0,0.6
40,67.5,0.535,-7.07,-7.22,-0.979,2,38,0,1.5,0.5
40,62.5,0.485,-7.81,-7.88,-0.991,2,38,0,1.5,0.6
44,34.1,0.353,-8.8,-8.8,-1.0,2,42,0,1.0,0.8
40,62.5,0.389,-9.25,-9.29,-0.996,2,38,0,1.5,0.8
40,47.5,0.315,-10.44,-10.44,-1.0,2,38,0,1.5,1.0
44,25.0,0.273,-10.65,-10.65,-1.0,2,42,0,1.0,1.0
