entry_time,exit_time,direction,entry_price,exit_price,result,pnl_pct,dollar_pnl,equity
2026-01-21 11:30:00+00:00,2026-01-21 11:45:00+00:00,short,89180.29,88866.12,TP,0.352,116.14,10116.14
2026-01-21 11:45:00+00:00,2026-01-21 12:00:00+00:00,short,88687.13,88313.29,TP,0.422,152.51,10268.66
2026-01-21 12:00:00+00:00,2026-01-21 13:00:00+00:00,short,88284.04,88680.28,SL,-0.449,-292.06,9976.6
2026-01-23 07:45:00+00:00,2026-01-23 08:30:00+00:00,short,89438.16,89129.36,TP,0.345,112.37,10088.97
2026-01-28 01:45:00+00:00,2026-01-28 03:00:00+00:00,long,89307.57,88956.79,SL,-0.393,-258.67,9830.3
2026-01-29 08:30:00+00:00,2026-01-29 11:15:00+00:00,short,87980.35,87653.03,TP,0.372,123.88,9954.18
2026-01-30 01:00:00+00:00,2026-01-30 01:15:00+00:00,short,84007.23,83671.55,TP,0.4,139.15,10093.33
2026-01-30 07:15:00+00:00,2026-01-30 10:30:00+00:00,short,82561.15,82429.73,SL,0.159,17.09,10110.43
2026-02-01 02:15:00+00:00,2026-02-01 07:30:00+00:00,short,78525.62,78223.59,SL,0.385,79.91,10190.34
2026-02-03 14:30:00+00:00,2026-02-03 14:45:00+00:00,short,77697.15,77288.54,TP,0.526,206.81,10397.15
2026-02-04 13:15:00+00:00,2026-02-04 13:30:00+00:00,short,75753.95,75342.06,TP,0.544,220.28,10617.43
2026-02-05 14:45:00+00:00,2026-02-05 15:00:00+00:00,short,69347.79,68272.26,TP,1.551,293.88,10911.31
2026-02-08 18:30:00+00:00,2026-02-08 20:45:00+00:00,long,71302.59,70730.86,SL,-0.802,-376.33,10534.98
2026-02-08 23:00:00+00:00,2026-02-08 23:15:00+00:00,long,71338.79,70711.89,SL,-0.879,-359.21,10175.77
2026-02-09 22:00:00+00:00,2026-02-10 00:00:00+00:00,long,70620.6,70022.17,SL,-0.847,-348.5,9827.27
2026-02-11 02:45:00+00:00,2026-02-11 03:15:00+00:00,short,68665.52,68285.13,TP,0.554,213.24,10040.51
2026-02-11 11:30:00+00:00,2026-02-11 12:15:00+00:00,short,66884.95,67285.2,SL,-0.598,-360.66,9679.85
2026-02-12 06:30:00+00:00,2026-02-12 09:00:00+00:00,short,67170.6,67147.26,SL,0.035,-40.4,9639.45
2026-02-17 07:15:00+00:00,2026-02-17 10:15:00+00:00,short,68181.03,67847.8,TP,0.489,177.72,9817.17
2026-02-23 21:15:00+00:00,2026-02-24 01:15:00+00:00,short,64528.47,64035.15,TP,0.764,248.29,10065.46
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,short,63125.14,62764.52,TP,0.571,227.12,10292.58
2026-02-25 08:30:00+00:00,2026-02-25 12:00:00+00:00,long,65456.9,65459.79,SL,0.004,-59.48,10233.09
2026-02-26 11:00:00+00:00,2026-02-26 13:45:00+00:00,long,68344.94,67969.25,SL,-0.55,-342.65,9890.44
2026-02-27 06:30:00+00:00,2026-02-27 08:00:00+00:00,long,67761.57,67774.1,SL,0.018,-50.2,9840.24
2026-03-01 01:45:00+00:00,2026-03-01 02:00:00+00:00,long,67271.45,67955.5,TP,1.017,260.37,10100.61
2026-03-01 02:00:00+00:00,2026-03-01 04:15:00+00:00,long,67917.13,67196.4,SL,-1.061,-337.28,9763.33
2026-03-01 16:00:00+00:00,2026-03-01 16:45:00+00:00,long,67006.09,66509.65,SL,-0.741,-340.34,9422.99
2026-03-08 00:45:00+00:00,2026-03-08 02:45:00+00:00,short,67228.49,66998.06,TP,0.343,104.95,9527.94
2026-03-08 02:45:00+00:00,2026-03-08 04:45:00+00:00,short,66956.8,66662.27,TP,0.44,152.4,9680.34
2026-03-08 17:15:00+00:00,2026-03-08 18:45:00+00:00,short,67066.89,66772.17,TP,0.439,154.62,9834.95
2026-03-08 21:00:00+00:00,2026-03-08 22:00:00+00:00,short,66760.64,66366.67,TP,0.59,231.19,10066.14
2026-03-09 19:15:00+00:00,2026-03-09 22:30:00+00:00,long,69265.66,68662.64,SL,-0.871,-343.61,9722.53
2026-03-10 01:45:00+00:00,2026-03-10 02:30:00+00:00,long,69282.46,69689.3,TP,0.587,227.13,9949.66
2026-03-14 09:15:00+00:00,2026-03-14 10:45:00+00:00,short,70678.56,70565.38,SL,0.16,19.97,9969.63
2026-03-15 17:45:00+00:00,2026-03-15 18:45:00+00:00,long,71828.26,71570.57,SL,-0.359,-238.65,9730.98
